,index,networkx_function,num_np_calls,np_calls,np_calls_w_args
13,848,/algorithms/centrality/tests/test_trophic.py_test_trophic_levels_levine,8,"['array', 'array_equal', 'eye', 'linalg.inv', 'asarray', 'ones', 'array', 'allclose']","['array_equal(q.todense(), expected_q)', 'eye(nn)', 'linalg.inv(i - q)', 'asarray(n) @ np.ones(nn)', 'array([1, 2.07906977, 1.46511628, 2.3255814])', 'allclose(y, expected_y)']"
14,50,/drawing/layout.py_circular_layout,7,"['linspace', 'pi', 'float32', 'column_stack', 'cos', 'sin', 'zeros']","['linspace(0, 1, len(G) + 1)', 'cos(theta), np.sin(theta), np.zeros((len(G), paddims))']"
15,513,/algorithms/smallworld.py_lattice_reference,7,"['zeros', 'arange', 'arange', 'append', 'where', 'ceil', 'append']","['zeros((nnodes, nnodes))', 'arange(1, nnodes)', 'arange(nnodes - 1, 0, -1)', 'append((0,), np.where(un < um, un, um))', 'ceil(nnodes / 2)))', 'append(u[v + 1 :], u[: v + 1])']"
16,51,/drawing/layout.py_shell_layout,7,"['pi', 'linspace', 'pi', 'float32', 'column_stack', 'cos', 'sin']","['linspace(0, 2 * np.pi, len(nodes), endpoint=False, dtype=np.float32)', 'column_stack([np.cos(theta), np.sin(theta)])']"
17,4540,/utils/tests/test_decorators.py_test_random_state_np_random_RandomState,7,"['random.seed', 'random.random_sample', 'random.seed', 'random.RandomState', 'random.RandomState', 'random.RandomState', 'random.random_sample']","['random.seed(42)', 'random.random_sample()', 'random.seed(42)', 'random.RandomState(seed)', 'random.RandomState(seed).rand()', 'random.RandomState(seed).rand()', 'random.random_sample()']"
18,67,/drawing/layout.py_rescale_layout_dict,7,"['array', 'array', 'array', 'array', 'array', 'array', 'array']","['array((0, 0)), 1: np.array((1, 1)), 2: np.array((0.5, 0.5))', 'array((0, 0)), 1: np.array((-1, 1)), 2: np.array((-0.5, 0.5))', 'array(list(pos.values()))']"
19,5666,/tests/test_convert_numpy.py_test_from_numpy_array_type,7,"['array', 'array', 'array', 'array', 'array', 'array', 'array']","['array([[1]])', 'array([[1]]).astype(float)', 'array([[1]]).astype(str)', 'array([[1]]).astype(bool)', 'array([[1]]).astype(complex)', 'array([[1]]).astype(object)', 'array([[[1, 1, 1], [1, 1, 1]], [[1, 1, 1], [1, 1, 1]]])']"
20,5604,/tests/test_convert_scipy.py_test_format_keyword,7,"['testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal', 'testing.assert_equal']",[]
21,4404,/utils/misc.py_create_py_random_state,7,"['random', 'random.RandomState', 'random.Generator', 'random', 'random.mtrand._rand', 'random.RandomState', 'random.Generator']",[]
22,855,/algorithms/centrality/tests/test_trophic.py_test_trophic_incoherence_parameter_no_cannibalism,7,"['array', 'array', 'std', 'array', 'std', 'array', 'std']","['array([[0, 1], [0, 0]])', 'std([1, 1.5, 0.5, 0.75, 1.25]), abs=1e-7)', 'std([1, 1.5, 0.5, 0.75, 1.25]), abs=1e-7)', 'std([1, 1.5, 0.5, 0.75, 1.25]), abs=1e-7)']"
23,206,/drawing/tests/test_layout.py_test_rescale_layout_dict,7,"['linalg.norm', 'array', 'array', 'array', 'array', 'array', 'array']","['linalg.norm([sum(x) for x in zip(*s_vpos.values())])', 'array((-1, -1))', 'array((1, 1))', 'array((0, 0))', 'array((-2, -2))', 'array((2, 2))', 'array((0, 0))']"
24,204,/drawing/tests/test_layout.py_test_spiral_layout,7,"['array', 'array', 'linalg.norm', 'linalg.norm', 'array', 'linalg.norm', 'allclose']","['array(list(nx.spiral_layout(G, resolution=0.35).values()))', 'array(list(nx.spiral_layout(G, resolution=0.34).values()))', 'linalg.norm(pos_standard[:-1] - pos_standard[1:], axis=1)', 'linalg.norm(pos_tighter[:-1] - pos_tighter[1:], axis=1)', 'array(list(nx.spiral_layout(G, equidistant=True).values()))']"
25,4329,/linalg/tests/test_graphmatrix.py_setup_class,6,"['array', 'array', 'array', 'array', 'array', 'array']","['array([[0, 0], [0, 0]])']"
