,function_name,np,function_np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
555,pinv,numpy.linalg.pinv,linalg.pinv,https://numpy.org/doc/stable/reference/generated/numpy.linalg.pinv.html,,,,False
556,qr,numpy.linalg.qr,linalg.qr,https://numpy.org/doc/stable/reference/generated/numpy.linalg.qr.html,,,,False
557,slogdet,numpy.linalg.slogdet,linalg.slogdet,https://numpy.org/doc/stable/reference/generated/numpy.linalg.slogdet.html,,,,False
558,solve,numpy.linalg.solve,linalg.solve,https://numpy.org/doc/stable/reference/generated/numpy.linalg.solve.html,,,,False
559,svd,numpy.linalg.svd,linalg.svd,https://numpy.org/doc/stable/reference/generated/numpy.linalg.svd.html,,,,False
560,tensorinv,numpy.linalg.tensorinv,linalg.tensorinv,https://numpy.org/doc/stable/reference/generated/numpy.linalg.tensorinv.html,,,,False
561,tensorsolve,numpy.linalg.tensorsolve,linalg.tensorsolve,https://numpy.org/doc/stable/reference/generated/numpy.linalg.tensorsolve.html,,,,False
562,linspace,numpy.linspace,linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.pdarraycreation.linspace,pdarraycreation.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.linspace,True
563,linspace,numpy.linspace,linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.array_api._creation_functions.linspace,array_api._creation_functions.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.linspace,True
564,load,numpy.load,load,https://numpy.org/doc/stable/reference/generated/numpy.load.html,arkouda.io.load,io.load,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.io.load,True
565,load,numpy.load,load,https://numpy.org/doc/stable/reference/generated/numpy.load.html,arkouda.segarray.SegArray.load,segarray.SegArray.load,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.segarray.SegArray.load,True
566,load,numpy.load,load,https://numpy.org/doc/stable/reference/generated/numpy.load.html,arkouda.dataframe.DataFrame.load,dataframe.DataFrame.load,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dataframe.DataFrame.load,True
567,loadtxt,numpy.loadtxt,loadtxt,https://numpy.org/doc/stable/reference/generated/numpy.loadtxt.html,,,,False
568,log1p,numpy.log1p,log1p,https://numpy.org/doc/stable/reference/generated/numpy.log1p.html,arkouda.numeric.log1p,numeric.log1p,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log1p,True
569,log1p,numpy.log1p,log1p,https://numpy.org/doc/stable/reference/generated/numpy.log1p.html,arkouda.array_api._elementwise_functions.log1p,array_api._elementwise_functions.log1p,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log1p,True
570,logaddexp,numpy.logaddexp,logaddexp,https://numpy.org/doc/stable/reference/generated/numpy.logaddexp.html,arkouda.array_api._elementwise_functions.logaddexp,array_api._elementwise_functions.logaddexp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logaddexp,True
571,logaddexp2,numpy.logaddexp2,logaddexp2,https://numpy.org/doc/stable/reference/generated/numpy.logaddexp2.html,,,,False
572,logical_and,numpy.logical_and,logical_and,https://numpy.org/doc/stable/reference/generated/numpy.logical_and.html,arkouda.array_api._elementwise_functions.logical_and,array_api._elementwise_functions.logical_and,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logical_and,True
