,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy
254,less_equal,6,4,True
255,lexsort,6,4,True
256,vander,6,4,True
257,arctanh,5,4,True
258,fabs,5,4,True
259,flipud,5,4,True
260,float128,5,4,True
261,linalg.qr,5,4,True
262,ma.masked_where,5,4,True
263,nanmax,5,4,True
264,nanmin,5,4,True
265,random.exponential,5,4,True
266,signedinteger,5,4,True
267,cdouble,4,4,True
268,exp2,4,4,True
269,flatnonzero,4,4,True
270,ma.isMaskedArray,4,4,True
271,mod,4,4,True
272,printoptions,4,4,True
273,rec.fromarrays,4,4,True
274,vdot,4,4,True
275,choose,11,3,True
276,iscomplex,11,3,True
277,polynomial.Polynomial,10,3,True
278,random.chisquare,7,3,True
279,random.pareto,7,3,True
280,cross,5,3,True
281,fft.fft,5,3,True
282,ma.MaskedArray,5,3,True
283,add,4,3,True
284,corrcoef,4,3,True
285,correlate,4,3,True
286,deg2rad,4,3,True
287,fft.fftfreq,4,3,True
288,indices,4,3,True
289,linalg.cond,4,3,True
290,ndarray.tolist,4,3,True
291,polydiv,4,3,True
292,random.multivariate_normal,4,3,True
293,ravel_multi_index,4,3,True
294,rot90,4,3,True
295,savetxt,4,3,True
296,seterr,4,3,True
297,,3,3,True
298,add.reduce,3,3,True
299,broadcast,3,3,True
300,bytes_,3,3,True
301,common_type,3,3,True
302,conjugate,3,3,True
303,diag_indices,3,3,True
304,fft.irfft,3,3,True
305,generic,3,3,True
306,interval,3,3,True
307,ldexp,3,3,True
308,linalg.eigh,3,3,True
309,ndenumerate,3,3,True
310,ndnarray,3,3,True
311,partition,3,3,True
312,polyfit,3,3,True
313,random.dirichlet,3,3,True
314,euler_gamma,8,2,True
315,isin,6,2,True
316,true_divide,6,2,True
317,union1d,5,2,True
318,complex256,4,2,True
319,fft.fftshift,4,2,True
320,fromiter,4,2,True
321,fromstring,4,2,True
322,signbit,4,2,True
323,arcsin,3,2,True
324,datetime64,3,2,True
325,min_scalar_type,3,2,True
326,ndindex,3,2,True
327,not_equal,3,2,True
328,rad2deg,3,2,True
329,random.binomial,3,2,True
330,sinc,3,2,True
331,typing.ArrayLike,3,2,True
332,ufunc,3,2,True
333,copysign,2,2,True
334,diag_indices_from,2,2,True
335,fmax,2,2,True
336,frexp,2,2,True
337,histogram2d,2,2,True
338,histogramdd,2,2,True
339,lib.stride_tricks.as_strided,2,2,True
340,ma.asarray,2,2,True
341,ma.getmask,2,2,True
342,ma.masked_greater,2,2,True
343,ma.masked_invalid,2,2,True
344,ma.nomask,2,2,True
345,ma.nonzero,2,2,True
346,nan_to_num,2,2,True
347,ogrid,2,2,True
348,polyadd,2,2,True
349,put_along_axis,2,2,True
350,random.mtrand._rand,2,2,True
351,rec.recarray,2,2,True
352,savez_compressed,2,2,True
353,select,2,2,True
354,str_,2,2,True
355,tensordot,2,2,True
356,triu_indices_from,2,2,True
357,unsignedinteger,2,2,True
358,void,2,2,True
359,array_repr,4,1,True
360,float96,4,1,True
361,fmod,4,1,True
362,isfortran,4,1,True
363,radians,4,1,True
364,cbrt,3,1,True
365,diagflat,3,1,True
366,inner,3,1,True
367,ma.masked_all,3,1,True
368,npy_intp,3,1,True
369,PyUFuncGenericFunction,2,1,True
370,compress,2,1,True
371,fft.ifftshift,2,1,True
372,int_,2,1,True
373,ma.is_masked,2,1,True
374,ma.var,2,1,True
375,random.MT19937,2,1,True
376,require,2,1,True
377,uint,2,1,True
378,PyUFunc_FromFuncAndData,1,1,True
379,__version__,1,1,True
380,__version__.startswith,1,1,True
381,add.at,1,1,True
382,add.reduceat,1,1,True
383,apply_over_axes,1,1,True
384,argwhere,1,1,True
385,array2string,1,1,True
386,atleast_3d,1,1,True
387,bitwise_and,1,1,True
388,bitwise_or,1,1,True
389,broadcast_shapes,1,1,True
390,digitize,1,1,True
391,divmod,1,1,True
392,double,1,1,True
393,fft,1,1,True
394,fft.ifft,1,1,True
395,fft.rfft,1,1,True
396,fft.rfftfreq,1,1,True
397,fliplr,1,1,True
398,float,1,1,True
399,fmin,1,1,True
400,format_float_scientific,1,1,True
401,fromfile,1,1,True
402,genfromtxt,1,1,True
403,geomspace,1,1,True
404,geterr,1,1,True
405,half,1,1,True
406,intersect1d,1,1,True
407,invert,1,1,True
408,lcm,1,1,True
409,linalg.eigvals,1,1,True
410,linalg.pinv,1,1,True
411,logical_and.reduce,1,1,True
412,logical_or.reduce,1,1,True
413,longlong,1,1,True
414,ma.count,1,1,True
415,ma.getmaskarray,1,1,True
416,ma.masked,1,1,True
417,ma.masked_equal,1,1,True
418,ma.where,1,1,True
419,minimum.accumulate,1,1,True
420,multiply.reduce,1,1,True
421,nanpercentile,1,1,True
422,nanstd,1,1,True
423,nansum,1,1,True
424,nanvar,1,1,True
425,nextafter.reduce,1,1,True
426,poly1d.__call__,1,1,True
427,polysub,1,1,True
428,quantile,1,1,True
429,random.PCG64,1,1,True
430,random.lognormal,1,1,True
431,random.rayleigh,1,1,True
432,random.standard_cauchy,1,1,True
433,random.standard_normal,1,1,True
434,record,1,1,True
435,remainder,1,1,True
436,rint,1,1,True
437,savez,1,1,True
438,setdiff1d,1,1,True
439,subtract,1,1,True
440,testing.assert_,1,1,True
441,testing.assert_almost_equal,1,1,True
442,testing.assert_warns,1,1,True
443,tri,1,1,True
444,tril_indices_from,1,1,True
445,ubyte,1,1,True
446,uintp,1,1,True
