,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels
248,apply_over_axes,2,1,True
249,greater,2,1,True
250,histogram2d,2,1,True
251,in1d,2,1,True
252,iscomplex,2,1,True
253,maximum.accumulate,2,1,True
254,params,2,1,True
255,polynomial.polynomial.Polynomial.fromroots,2,1,True
256,square,2,1,True
257,stack,2,1,True
258,tanh,2,1,True
259,uint8,2,1,True
260,_NoValue,1,1,True
261,add,1,1,True
262,add.reduceat,1,1,True
263,arccos,1,1,True
264,arctanh,1,1,True
265,array_str,1,1,True
266,bmat,1,1,True
267,common_type,1,1,True
268,complexfloating,1,1,True
269,conjugate,1,1,True
270,core.recarray,1,1,True
271,csv,1,1,True
272,fft.fft,1,1,True
273,fft.ifft,1,1,True
274,fft.irfft,1,1,True
275,fft.rfft,1,1,True
276,flipud,1,1,True
277,float,1,1,True
278,float_,1,1,True
279,floating,1,1,True
280,hsplit,1,1,True
281,indices,1,1,True
282,iscomplexobj,1,1,True
283,isnumber,1,1,True
284,isreal,1,1,True
285,linalg.matrix_power,1,1,True
286,logspace,1,1,True
287,ma.allclose,1,1,True
288,ma.core.MaskedArray,1,1,True
289,maximum.reduce,1,1,True
290,minimum.accumulate,1,1,True
291,mod,1,1,True
292,nanmax,1,1,True
293,nanmin,1,1,True
294,nanvar,1,1,True
295,ndindex,1,1,True
296,object_,1,1,True
297,partition,1,1,True
298,polynomial.Polynomial.fromroots,1,1,True
299,random.chisquare,1,1,True
300,random.multinomial,1,1,True
301,random.negative_binomial,1,1,True
302,random.set_state,1,1,True
303,rec.recarray,1,1,True
304,resid,1,1,True
305,resize,1,1,True
306,savez,1,1,True
307,seasonal,1,1,True
308,swapaxes,1,1,True
309,trend,1,1,True
310,tril,1,1,True
311,triu,1,1,True
312,union1d,1,1,True
313,vectorize,1,1,True
314,void,1,1,True
