networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/approximation/tests/test_distance_measures.py_test_null_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_distance_measures.py_test_single_node,1.0,0,0,[],[]
/algorithms/approximation/tests/test_distance_measures.py_test_undirected_non_connected,1.0,0,0,[],[]
/algorithms/approximation/tests/test_distance_measures.py_test_undirected_path_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_dominating_set.py_test_min_edge_dominating_set,1.0,0,0,[],[]
/algorithms/approximation/tests/test_dominating_set.py_test_min_weighted_dominating_set,1.0,0,0,[],[]
/algorithms/approximation/tests/test_dominating_set.py_test_null_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_dominating_set.py_test_star_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py__check_connectivity,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_build_k_number_dict,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_graph_example_1,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_setup_class,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_adj,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_adjacency,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_connected_components,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_core_number,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_degree,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_degree_thingraph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_directed,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_example_1,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_example_1_detail_3_and_4,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_karate_0,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_karate_1,1.0,0,0,[],[]
