,index,function_np,total_np_calls,num_sklearn_funs_used_by,used_by_sklearn,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
22,371,all,166.0,114.0,True,all,numpy.all,https://numpy.org/doc/stable/reference/generated/numpy.all.html,arkouda.array_api._utility_functions.all,array_api._utility_functions.all,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._utility_functions.all,True
23,372,sqrt,165.0,114.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.pdarrayclass.sqrt,pdarrayclass.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sqrt,True
24,373,sqrt,165.0,114.0,True,sqrt,numpy.sqrt,https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html,arkouda.array_api._elementwise_functions.sqrt,array_api._elementwise_functions.sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sqrt,True
25,374,inf,216.0,99.0,True,inf,numpy.inf,https://numpy.org/doc/stable/reference/generated/numpy.inf.html,,,,False
26,375,empty,137.0,99.0,True,empty,numpy.empty,https://numpy.org/doc/stable/reference/generated/numpy.empty.html,arkouda.array_api._creation_functions.empty,array_api._creation_functions.empty,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.empty,True
27,376,log,153.0,92.0,True,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.numeric.log,numeric.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log,True
28,377,log,153.0,92.0,True,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.array_api._elementwise_functions.log,array_api._elementwise_functions.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log,True
29,378,vstack,118.0,85.0,True,vstack,numpy.vstack,https://numpy.org/doc/stable/reference/generated/numpy.vstack.html,,,,False
30,379,linspace,122.0,84.0,True,linspace,numpy.linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.pdarraycreation.linspace,pdarraycreation.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.linspace,True
31,380,linspace,122.0,84.0,True,linspace,numpy.linspace,https://numpy.org/doc/stable/reference/generated/numpy.linspace.html,arkouda.array_api._creation_functions.linspace,array_api._creation_functions.linspace,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.linspace,True
32,381,int32,124.0,82.0,True,int32,numpy.int32,https://numpy.org/doc/stable/reference/generated/numpy.int32.html,arkouda.dtypes.int32,dtypes.int32,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.int32,True
33,382,exp,110.0,75.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.numeric.exp,numeric.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.exp,True
34,383,exp,110.0,75.0,True,exp,numpy.exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html,arkouda.array_api._elementwise_functions.exp,array_api._elementwise_functions.exp,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.exp,True
35,384,ndarray,92.0,69.0,True,ndarray,numpy.ndarray,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.html,,,,False
36,385,hstack,79.0,69.0,True,hstack,numpy.hstack,https://numpy.org/doc/stable/reference/generated/numpy.hstack.html,,,,False
37,386,full,89.0,67.0,True,full,numpy.full,https://numpy.org/doc/stable/reference/generated/numpy.full.html,arkouda.pdarraycreation.full,pdarraycreation.full,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.full,True
38,387,full,89.0,67.0,True,full,numpy.full,https://numpy.org/doc/stable/reference/generated/numpy.full.html,arkouda.array_api._creation_functions.full,array_api._creation_functions.full,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.full,True
39,388,concatenate,88.0,66.0,True,concatenate,numpy.concatenate,https://numpy.org/doc/stable/reference/generated/numpy.concatenate.html,arkouda.util.concatenate,util.concatenate,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.util.concatenate,True
40,389,concatenate,88.0,66.0,True,concatenate,numpy.concatenate,https://numpy.org/doc/stable/reference/generated/numpy.concatenate.html,arkouda.pdarraysetops.concatenate,pdarraysetops.concatenate,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraysetops.concatenate,True
41,390,int64,92.0,65.0,True,int64,numpy.int64,https://numpy.org/doc/stable/reference/generated/numpy.int64.html,arkouda.dtypes.int64,dtypes.int64,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.int64,True
42,391,isnan,92.0,64.0,True,isnan,numpy.isnan,https://numpy.org/doc/stable/reference/generated/numpy.isnan.html,arkouda.numeric.isnan,numeric.isnan,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.isnan,True
43,392,isnan,92.0,64.0,True,isnan,numpy.isnan,https://numpy.org/doc/stable/reference/generated/numpy.isnan.html,arkouda.array_api._elementwise_functions.isnan,array_api._elementwise_functions.isnan,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.isnan,True
44,393,bincount,77.0,57.0,True,bincount,numpy.bincount,https://numpy.org/doc/stable/reference/generated/numpy.bincount.html,,,,False
45,394,max,71.0,57.0,True,max,numpy.max,https://numpy.org/doc/stable/reference/generated/numpy.max.html,arkouda.pdarrayclass.max,pdarrayclass.max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.max,True
46,395,max,71.0,57.0,True,max,numpy.max,https://numpy.org/doc/stable/reference/generated/numpy.max.html,arkouda.array_api._statistical_functions.max,array_api._statistical_functions.max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.max,True
47,396,finfo,69.0,57.0,True,finfo,numpy.finfo,https://numpy.org/doc/stable/reference/generated/numpy.finfo.html,,,,False
48,397,argmax,65.0,52.0,True,argmax,numpy.argmax,https://numpy.org/doc/stable/reference/generated/numpy.argmax.html,arkouda.pdarrayclass.argmax,pdarrayclass.argmax,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.argmax,True
49,398,argmax,65.0,52.0,True,argmax,numpy.argmax,https://numpy.org/doc/stable/reference/generated/numpy.argmax.html,arkouda.array_api._searching_functions.argmax,array_api._searching_functions.argmax,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._searching_functions.argmax,True
50,399,where,62.0,50.0,True,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.numeric.where,numeric.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.where,True
51,400,where,62.0,50.0,True,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.array_api._searching_functions.where,array_api._searching_functions.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._searching_functions.where,True
52,401,zeros_like,59.0,49.0,True,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.pdarraycreation.zeros_like,pdarraycreation.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros_like,True
53,402,zeros_like,59.0,49.0,True,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.array_api._creation_functions.zeros_like,array_api._creation_functions.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros_like,True
54,403,c_,57.0,49.0,True,c_,numpy.c_,https://numpy.org/doc/stable/reference/generated/numpy.c_.html,,,,False
55,404,ones_like,48.0,46.0,True,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.pdarraycreation.ones_like,pdarraycreation.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones_like,True
56,405,ones_like,48.0,46.0,True,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.array_api._creation_functions.ones_like,array_api._creation_functions.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones_like,True
57,406,any,63.0,44.0,True,any,numpy.any,https://numpy.org/doc/stable/reference/generated/numpy.any.html,arkouda.pdarrayclass.any,pdarrayclass.any,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.any,True
58,407,any,63.0,44.0,True,any,numpy.any,https://numpy.org/doc/stable/reference/generated/numpy.any.html,arkouda.array_api._utility_functions.any,array_api._utility_functions.any,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._utility_functions.any,True
59,408,eye,48.0,42.0,True,eye,numpy.eye,https://numpy.org/doc/stable/reference/generated/numpy.eye.html,arkouda.array_api._creation_functions.eye,array_api._creation_functions.eye,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.eye,True
60,409,average,70.0,41.0,True,average,numpy.average,https://numpy.org/doc/stable/reference/generated/numpy.average.html,,,,False
61,410,diag,65.0,39.0,True,diag,numpy.diag,https://numpy.org/doc/stable/reference/generated/numpy.diag.html,,,,False
62,411,isfinite,42.0,37.0,True,isfinite,numpy.isfinite,https://numpy.org/doc/stable/reference/generated/numpy.isfinite.html,arkouda.numeric.isfinite,numeric.isfinite,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.isfinite,True
63,412,isfinite,42.0,37.0,True,isfinite,numpy.isfinite,https://numpy.org/doc/stable/reference/generated/numpy.isfinite.html,arkouda.array_api._elementwise_functions.isfinite,array_api._elementwise_functions.isfinite,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.isfinite,True
64,413,min,47.0,36.0,True,min,numpy.min,https://numpy.org/doc/stable/reference/generated/numpy.min.html,arkouda.pdarrayclass.min,pdarrayclass.min,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.min,True
65,414,min,47.0,36.0,True,min,numpy.min,https://numpy.org/doc/stable/reference/generated/numpy.min.html,arkouda.array_api._statistical_functions.min,array_api._statistical_functions.min,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.min,True
66,415,argsort,43.0,36.0,True,argsort,numpy.argsort,https://numpy.org/doc/stable/reference/generated/numpy.argsort.html,arkouda.sorting.argsort,sorting.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.argsort,True
