scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_peak_finding.py_test_plateau_size,0.83,6,5,['array' 'zeros' 'zeros' 'ones' 'ones' 'repeat'],"['pdarraycreation.array' 'array_api._creation_functions.zeros'
 'pdarraycreation.zeros' 'array_api._creation_functions.ones'
 'pdarraycreation.ones']"
/signal/tests/test_peak_finding.py_test_prominence_condition,1.0,5,5,['linspace' 'nonzero' 'arange' 'linspace' 'arange'],"['pdarraycreation.linspace' 'array_api._searching_functions.nonzero'
 'pdarraycreation.arange' 'array_api._creation_functions.linspace'
 'array_api._creation_functions.arange']"
/signal/tests/test_peak_finding.py_test_properties,1.0,0,0,[],[]
/signal/tests/test_peak_finding.py_test_raises,1.0,5,5,['arange' 'arange' 'array' 'ones' 'ones'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'pdarraycreation.array' 'array_api._creation_functions.ones'
 'pdarraycreation.ones']"
/signal/tests/test_peak_finding.py_test_readonly_array,1.0,2,2,['linspace' 'linspace'],['pdarraycreation.linspace' 'array_api._creation_functions.linspace']
/signal/tests/test_peak_finding.py_test_signal_edges,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_peak_finding.py_test_simple,1.0,4,4,['arange' 'arange' 'linspace' 'linspace'],"['array_api._creation_functions.arange' 'pdarraycreation.arange'
 'array_api._creation_functions.linspace' 'pdarraycreation.linspace']"
/signal/tests/test_peak_finding.py_test_single_bigdist,0.57,7,4,['diff' 'abs' 'full' 'full' 'testing.assert_array_less' 'zeros' 'zeros'],"['array_api._creation_functions.full' 'pdarraycreation.full'
 'pdarraycreation.zeros' 'array_api._creation_functions.zeros']"
/signal/tests/test_peak_finding.py_test_single_biggap,0.57,7,4,['full' 'zeros' 'testing.assert_array_less' 'zeros' 'diff' 'full' 'abs'],"['pdarraycreation.full' 'pdarraycreation.zeros'
 'array_api._creation_functions.zeros'
 'array_api._creation_functions.full']"
/signal/tests/test_peak_finding.py_test_single_biggaps,0.57,7,4,['abs' 'testing.assert_array_less' 'zeros' 'zeros' 'diff' 'full' 'full'],"['pdarraycreation.zeros' 'array_api._creation_functions.zeros'
 'pdarraycreation.full' 'array_api._creation_functions.full']"
/signal/tests/test_peak_finding.py_test_single_pass,1.0,4,4,['full' 'full' 'zeros' 'zeros'],"['array_api._creation_functions.full' 'pdarraycreation.full'
 'pdarraycreation.zeros' 'array_api._creation_functions.zeros']"
/signal/tests/test_peak_finding.py_test_threshold_condition,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_peak_finding.py_test_unpack_condition_args,1.0,2,2,['arange' 'arange'],['pdarraycreation.arange' 'array_api._creation_functions.arange']
/signal/tests/test_peak_finding.py_test_warnings,0.67,3,2,['float64' 'intp' 'array'],['dtypes.float64' 'pdarraycreation.array']
/signal/tests/test_peak_finding.py_test_width_condition,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_peak_finding.py_test_wlen,1.0,0,0,[],[]
/signal/tests/test_peak_finding.py_test_wlen_smaller_plateau,1.0,0,0,[],[]
