,index,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
427,776,ndarray.partition,,,,partition,numpy.ndarray.partition,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.partition.html,,,,False
428,777,partition,,,,partition,numpy.partition,https://numpy.org/doc/stable/reference/generated/numpy.partition.html,,,,False
429,778,char.replace,,,,replace,numpy.char.replace,https://numpy.org/doc/stable/reference/generated/numpy.char.replace.html,,,,False
430,779,char.rfind,,,,rfind,numpy.char.rfind,https://numpy.org/doc/stable/reference/generated/numpy.char.rfind.html,,,,False
431,780,char.rindex,,,,rindex,numpy.char.rindex,https://numpy.org/doc/stable/reference/generated/numpy.char.rindex.html,,,,False
432,781,char.rjust,,,,rjust,numpy.char.rjust,https://numpy.org/doc/stable/reference/generated/numpy.char.rjust.html,,,,False
433,782,char.rpartition,,,,rpartition,numpy.char.rpartition,https://numpy.org/doc/stable/reference/generated/numpy.char.rpartition.html,,,,False
434,783,char.rsplit,,,,rsplit,numpy.char.rsplit,https://numpy.org/doc/stable/reference/generated/numpy.char.rsplit.html,,,,False
435,784,char.rstrip,,,,rstrip,numpy.char.rstrip,https://numpy.org/doc/stable/reference/generated/numpy.char.rstrip.html,,,,False
436,785,char.split,,,,split,numpy.char.split,https://numpy.org/doc/stable/reference/generated/numpy.char.split.html,,,,False
437,786,char.splitlines,,,,splitlines,numpy.char.splitlines,https://numpy.org/doc/stable/reference/generated/numpy.char.splitlines.html,,,,False
438,787,char.startswith,,,,startswith,numpy.char.startswith,https://numpy.org/doc/stable/reference/generated/numpy.char.startswith.html,arkouda.categorical.Categorical.startswith,categorical.Categorical.startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.startswith,True
439,788,char.startswith,,,,startswith,numpy.char.startswith,https://numpy.org/doc/stable/reference/generated/numpy.char.startswith.html,arkouda.strings.Strings.startswith,strings.Strings.startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.startswith,True
440,789,char.str_len,,,,str_len,numpy.char.str_len,https://numpy.org/doc/stable/reference/generated/numpy.char.str_len.html,,,,False
441,790,char.strip,,,,strip,numpy.char.strip,https://numpy.org/doc/stable/reference/generated/numpy.char.strip.html,,,,False
