,np_call,np_args,total_np_calls,num_sklearn_funs_used_by
248,isclose,axis,1,1
249,isfinite,axis,1,1
250,isfinite,n_samples,1,1
251,isfinite,rank,1,1
252,isfortran,copy,1,1
253,isin,assume_unique,1,1
254,isnan,,1,1
255,linalg.eig,rowvar,1,1
256,linalg.lstsq,rcond,1,1
257,linalg.qr,size,1,1
258,linalg.solve,rtol,1,1
259,linspace,endpoint,1,1
260,loadtxt,delimiter,1,1
261,loadtxt,dtype,1,1
262,log,axis,1,1
263,log,keepdims,1,1
264,logaddexp,out,1,1
265,logspace,base,1,1
266,logspace,gamma,1,1
267,logspace,num,1,1
268,ma.average,axis,1,1
269,ma.masked_array,mask,1,1
270,ma.mean,axis,1,1
271,ma.median,axis,1,1
272,matmul,rtol,1,1
273,maximum,dtype,1,1
274,may_share_memory,,1,1
275,mean,decimal,1,1
276,mean,dtype,1,1
277,mean,force_finite,1,1
278,mean,multioutput,1,1
279,median,keepdims,1,1
280,nan_to_num,copy,1,1
281,nan_to_num,neginf,1,1
282,nan_to_num,posinf,1,1
283,nanmedian,axis,1,1
284,nanmin,axis,1,1
285,ones,decimal,1,1
286,ones,offsets,1,1
287,ones,sample_weight,1,1
288,outer,squared,1,1
289,percentile,interpolation,1,1
290,prod,dtype,1,1
291,ptp,axis,1,1
292,random.randint,eps,1,1
293,ravel,order,1,1
294,real,overwrite_x,1,1
295,repeat,random_state,1,1
296,rollaxis,axis,1,1
297,rollaxis,start,1,1
298,set_printoptions,edgeitems,1,1
299,set_printoptions,precision,1,1
300,set_printoptions,threshold,1,1
301,setdiff1d,assume_unique,1,1
302,seterr,all,1,1
303,sign,,1,1
304,sign,decimal,1,1
305,size,dtype,1,1
306,sort,n_neighbors,1,1
307,sort,return_distance,1,1
308,sqrt,out,1,1
309,sqrt,rtol,1,1
310,sqrt,size,1,1
311,sqrt,squared,1,1
312,std,,1,1
313,std,copy,1,1
314,sum,keepdims,1,1
315,sum,out,1,1
316,tanh,out,1,1
317,testing.assert_allclose,atol,1,1
318,trace,dtype,1,1
319,transpose,axis,1,1
320,unique,allow_nd,1,1
321,unique,axis,1,1
322,unique,copy,1,1
323,unique,ensure_2d,1,1
324,unique,exact,1,1
325,unique,return_index,1,1
326,var,decimal,1,1
327,var,dtype,1,1
328,vstack,atol,1,1
329,vstack,axis,1,1
330,vstack,metric,1,1
331,vstack,n_jobs,1,1
332,vstack,size,1,1
333,where,axis,1,1
334,zeros,,1,1
335,zeros,intercept_init,1,1
336,zeros,last_var,1,1
337,zeros,learning_rate,1,1
338,zeros,method,1,1
339,zeros,rtol,1,1
340,zeros_like,sample_weight,1,1
