,index,function_np,total_np_calls,num_nltk_funs_used_by,used_by_nltk,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
768,768,ndarray.tobytes,,,,tobytes,numpy.ndarray.tobytes,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.tobytes.html,,,,False
769,769,ma.MaskedArray.tofile,,,,tofile,numpy.ma.MaskedArray.tofile,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.tofile.html,,,,False
770,770,matrix.tofile,,,,tofile,numpy.matrix.tofile,https://numpy.org/doc/stable/reference/generated/numpy.matrix.tofile.html,,,,False
771,771,ndarray.tofile,,,,tofile,numpy.ndarray.tofile,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.tofile.html,,,,False
772,772,ma.MaskedArray.tolist,,,,tolist,numpy.ma.MaskedArray.tolist,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.tolist.html,,,,False
773,773,matrix.tolist,,,,tolist,numpy.matrix.tolist,https://numpy.org/doc/stable/reference/generated/numpy.matrix.tolist.html,,,,False
774,774,ndarray.tolist,,,,tolist,numpy.ndarray.tolist,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.tolist.html,,,,False
775,775,ma.MaskedArray.torecords,,,,torecords,numpy.ma.MaskedArray.torecords,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.torecords.html,,,,False
776,776,ma.MaskedArray.trace,,,,trace,numpy.ma.MaskedArray.trace,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.trace.html,,,,False
777,777,ma.trace,,,,trace,numpy.ma.trace,https://numpy.org/doc/stable/reference/generated/numpy.ma.trace.html,,,,False
778,778,matrix.trace,,,,trace,numpy.matrix.trace,https://numpy.org/doc/stable/reference/generated/numpy.matrix.trace.html,,,,False
779,779,ndarray.trace,,,,trace,numpy.ndarray.trace,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.trace.html,,,,False
780,780,trace,,,,trace,numpy.trace,https://numpy.org/doc/stable/reference/generated/numpy.trace.html,,,,False
781,781,ma.MaskedArray.transpose,,,,transpose,numpy.ma.MaskedArray.transpose,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.transpose.html,,,,False
782,782,ma.transpose,,,,transpose,numpy.ma.transpose,https://numpy.org/doc/stable/reference/generated/numpy.ma.transpose.html,,,,False
783,783,matrix.transpose,,,,transpose,numpy.matrix.transpose,https://numpy.org/doc/stable/reference/generated/numpy.matrix.transpose.html,,,,False
784,784,ndarray.transpose,,,,transpose,numpy.ndarray.transpose,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.transpose.html,,,,False
785,785,transpose,,,,transpose,numpy.transpose,https://numpy.org/doc/stable/reference/generated/numpy.transpose.html,,,,False
786,786,ma.MaskedArray.unshare_mask,,,,unshare_mask,numpy.ma.MaskedArray.unshare_mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.unshare_mask.html,,,,False
787,787,ma.MaskedArray.var,,,,var,numpy.ma.MaskedArray.var,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.var.html,arkouda.pdarrayclass.var,pdarrayclass.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var,True
788,788,ma.MaskedArray.var,,,,var,numpy.ma.MaskedArray.var,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.var.html,arkouda.array_api._statistical_functions.var,array_api._statistical_functions.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.var,True
789,789,ma.var,,,,var,numpy.ma.var,https://numpy.org/doc/stable/reference/generated/numpy.ma.var.html,arkouda.pdarrayclass.var,pdarrayclass.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var,True
790,790,ma.var,,,,var,numpy.ma.var,https://numpy.org/doc/stable/reference/generated/numpy.ma.var.html,arkouda.array_api._statistical_functions.var,array_api._statistical_functions.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.var,True
791,791,matrix.var,,,,var,numpy.matrix.var,https://numpy.org/doc/stable/reference/generated/numpy.matrix.var.html,arkouda.pdarrayclass.var,pdarrayclass.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var,True
792,792,matrix.var,,,,var,numpy.matrix.var,https://numpy.org/doc/stable/reference/generated/numpy.matrix.var.html,arkouda.array_api._statistical_functions.var,array_api._statistical_functions.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.var,True
793,793,ndarray.var,,,,var,numpy.ndarray.var,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.var.html,arkouda.pdarrayclass.var,pdarrayclass.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var,True
794,794,ndarray.var,,,,var,numpy.ndarray.var,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.var.html,arkouda.array_api._statistical_functions.var,array_api._statistical_functions.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.var,True
795,795,var,,,,var,numpy.var,https://numpy.org/doc/stable/reference/generated/numpy.var.html,arkouda.pdarrayclass.var,pdarrayclass.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var,True
796,796,var,,,,var,numpy.var,https://numpy.org/doc/stable/reference/generated/numpy.var.html,arkouda.array_api._statistical_functions.var,array_api._statistical_functions.var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.var,True
797,797,ma.MaskType,,,,MaskType,numpy.ma.MaskType,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskType.html,,,,False
798,798,ma.maximum_fill_value,,,,maximum_fill_value,numpy.ma.maximum_fill_value,https://numpy.org/doc/stable/reference/generated/numpy.ma.maximum_fill_value.html,,,,False
799,799,ma.median,,,,median,numpy.ma.median,https://numpy.org/doc/stable/reference/generated/numpy.ma.median.html,,,,False
800,800,median,,,,median,numpy.median,https://numpy.org/doc/stable/reference/generated/numpy.median.html,,,,False
801,801,ma.minimum_fill_value,,,,minimum_fill_value,numpy.ma.minimum_fill_value,https://numpy.org/doc/stable/reference/generated/numpy.ma.minimum_fill_value.html,,,,False
802,802,ma.mr_,,,,mr_,numpy.ma.mr_,https://numpy.org/doc/stable/reference/generated/numpy.ma.mr_.html,,,,False
803,803,ma.ndenumerate,,,,ndenumerate,numpy.ma.ndenumerate,https://numpy.org/doc/stable/reference/generated/numpy.ma.ndenumerate.html,,,,False
804,804,ndenumerate,,,,ndenumerate,numpy.ndenumerate,https://numpy.org/doc/stable/reference/generated/numpy.ndenumerate.html,,,,False
805,805,ma.notmasked_contiguous,,,,notmasked_contiguous,numpy.ma.notmasked_contiguous,https://numpy.org/doc/stable/reference/generated/numpy.ma.notmasked_contiguous.html,,,,False
806,806,ma.notmasked_edges,,,,notmasked_edges,numpy.ma.notmasked_edges,https://numpy.org/doc/stable/reference/generated/numpy.ma.notmasked_edges.html,,,,False
807,807,ma.ones,,,,ones,numpy.ma.ones,https://numpy.org/doc/stable/reference/generated/numpy.ma.ones.html,arkouda.pdarraycreation.ones,pdarraycreation.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones,True
808,808,ma.ones,,,,ones,numpy.ma.ones,https://numpy.org/doc/stable/reference/generated/numpy.ma.ones.html,arkouda.array_api._creation_functions.ones,array_api._creation_functions.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones,True
